Year,Destination,Origin,Refugees
1995,Sudan,Ethiopia,48107
1995,Syrian Arab Rep.,Iraq,33912
1995,Thailand,Myanmar,94910
1995,United Rep. of Tanzania,Burundi,227216
1995,United Rep. of Tanzania,Rwanda,547976
1995,Uganda,Sudan,209860
1995,United States of America,Viet Nam,201816
1995,Yemen,Somalia,49516
1996,Bangladesh,Myanmar,30578
1996,Central African Rep.,Sudan,30671
1996,China,Viet Nam,288805
1996,Dem. Rep. of the Congo,Burundi,30226
1996,Dem. Rep. of the Congo,Rwanda,423561
1996,Dem. Rep. of the Congo,Sudan,96529
1996,Djibouti,Somalia,23010
1996,Ethiopia,Sudan,75743
1996,Ethiopia,Somalia,287761
1996,Iran (Islamic Rep. of),Afghanistan,1414659
1996,Iran (Islamic Rep. of),Iraq,579200
1996,Kenya,Sudan,33477
1996,Kenya,Somalia,171347
1996,Pakistan,Afghanistan,1200000
1996,Sudan,Ethiopia,51467
1996,Sweden,Iraq,20152
1996,Syrian Arab Rep.,Iraq,26817
1996,Thailand,Myanmar,104033
1996,United Rep. of Tanzania,Burundi,385452
1996,United Rep. of Tanzania,Dem. Rep. of the Congo,55214
1996,United Rep. of Tanzania,Rwanda,20020
1996,Uganda,Dem. Rep. of the Congo,28611
1996,Uganda,Sudan,223720
1996,United States of America,Iraq,20617
1996,United States of America,Viet Nam,174633
1996,Yemen,Somalia,43871
1997,Bangladesh,Myanmar,21497
1997,Central African Rep.,Sudan,32541
1997,China,Viet Nam,290621
1997,Dem. Rep. of the Congo,Burundi,47004
1997,Dem. Rep. of the Congo,Rwanda,37000
1997,Dem. Rep. of the Congo,Sudan,61181
1997,Djibouti,Somalia,21546
1997,Ethiopia,Sudan,56868
1997,Ethiopia,Somalia,249235
1997,Iran (Islamic Rep. of),Afghanistan,1411759
1997,Iran (Islamic Rep. of),Iraq,570794
1997,Kenya,Sudan,37351
1997,Kenya,Somalia,174119
1997,Pakistan,Afghanistan,1200000
1997,Rwanda,Dem. Rep. of the Congo,27105
1997,Sudan,Ethiopia,44284
1997,Sweden,Iraq,21420
1997,Syrian Arab Rep.,Iraq,21143
1997,Thailand,Myanmar,105216
1997,United Rep. of Tanzania,Burundi,459420
1997,United Rep. of Tanzania,Dem. Rep. of the Congo,74313
1997,Uganda,Sudan,160365
1997,United States of America,Iraq,25384
1997,United States of America,Somalia,22613
1997,United States of America,Viet Nam,137787
1997,Yemen,Somalia,37439
1998,Burundi,Dem. Rep. of the Congo,23085
1998,Bangladesh,Myanmar,22174
1998,Central African Rep.,Sudan,33950
1998,China,Viet Nam,292267
1998,Dem. Rep. of the Congo,Rwanda,35000
1998,Dem. Rep. of the Congo,Sudan,31100
1998,Djibouti,Somalia,21615
1998,Ethiopia,Sudan,58580
1998,Ethiopia,Somalia,195345
1998,Iran (Islamic Rep. of),Afghanistan,1400722
1998,Iran (Islamic Rep. of),Iraq,530610
1998,Kenya,Sudan,48162
1998,Kenya,Somalia,164657
1998,Netherlands,Iraq,24388
1998,Pakistan,Afghanistan,1200000
1998,Rwanda,Dem. Rep. of the Congo,31967
1998,Sudan,Ethiopia,35559
1998,Sweden,Iraq,22623
1998,Thailand,Myanmar,101686
1998,United Rep. of Tanzania,Burundi,473768
1998,United Rep. of Tanzania,Dem. Rep. of the Congo,58282
1998,Uganda,Sudan,189840
1998,United States of America,Iraq,22343
1998,United States of America,Somalia,24419
1998,United States of America,Viet Nam,105692
1998,Yemen,Somalia,57426
1999,Burundi,Dem. Rep. of the Congo,20760
1999,Bangladesh,Myanmar,22131
1999,Central African Rep.,Sudan,35457
1999,China,Viet Nam,293227
1999,Dem. Rep. of the Congo,Rwanda,33000
1999,Dem. Rep. of the Congo,Sudan,68000
1999,Djibouti,Somalia,21648
1999,Ethiopia,Sudan,70262
1999,Ethiopia,Somalia,180862
1999,Iran (Islamic Rep. of),Afghanistan,1325724
1999,Iran (Islamic Rep. of),Iraq,509964
